Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
47.387803520,1,0,0,0,1,0,0,1
47.409299840,0,1,0,0,1,0,0,1
47.414419840,0,1,0,0,1,0,1,1
47.414420000,0,1,0,0,0,0,1,1
47.414420160,0,1,0,0,0,0,0,1
47.414420320,0,1,0,0,0,1,1,0
47.421481760,0,1,0,0,1,1,1,0
47.427100800,1,0,0,0,1,0,0,0
47.909308320,0,1,0,0,1,0,0,1
47.914431200,0,1,0,0,0,0,1,0
47.914431520,0,1,0,0,0,0,0,1
47.914431840,0,1,0,0,0,1,1,0
47.921489600,0,1,0,0,1,1,1,0
47.927109280,1,0,0,0,1,0,0,0
48.330333920,1,0,0,0,0,1,0,0
48.331113760,1,0,0,0,1,0,1,0
48.331745440,1,0,0,0,0,0,0,1
48.331768480,1,0,0,0,1,1,0,0
48.387637760,1,0,0,0,1,0,0,1
48.409315200,0,1,0,0,1,0,0,1
48.414435520,0,1,0,0,0,0,1,0
48.414435680,0,1,0,0,0,0,0,1
48.414436160,0,1,0,0,0,1,1,0
48.421498080,0,1,0,0,1,1,1,0
48.427116000,1,0,0,0,1,0,0,0
48.909332320,0,1,0,0,1,0,0,1
48.914455520,0,1,0,0,0,0,1,0
48.914455680,0,1,0,0,0,0,0,1
48.914456160,0,1,0,0,0,1,1,0
48.921513920,0,1,0,0,1,1,1,0
48.927133600,1,0,0,0,1,0,0,0
49.330425760,1,0,0,0,0,1,0,0
49.331205440,1,0,0,0,1,1,1,0
49.331205600,1,0,0,0,1,0,1,0
49.331839200,1,0,0,0,0,0,0,1
49.331862560,1,0,0,0,1,1,0,1
49.331862720,1,0,0,0,1,1,0,0
49.387817280,1,0,0,0,1,0,0,1
49.409348640,0,1,0,0,1,0,0,1
49.414468320,0,1,0,0,0,0,1,0
49.414468480,0,1,0,0,0,0,0,1
