Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9
57.426625750,0,0,0,1,0,0,0,0,1,0
57.426626400,0,0,0,1,0,0,0,1,1,0
57.426626700,0,0,0,1,1,1,0,1,1,0
57.426626850,0,0,0,0,1,1,0,1,1,0
57.426627000,0,0,0,1,1,1,1,1,1,0
57.426627050,0,0,0,1,0,0,1,1,1,0
57.426703500,0,0,0,1,0,0,1,1,1,1
57.427971750,1,0,0,1,0,0,1,0,1,1
57.427972900,1,0,0,1,0,0,1,1,1,1
57.749864150,0,0,0,0,1,0,1,0,1,1
57.749886500,0,0,0,0,1,0,1,1,1,1
57.927983150,1,0,0,1,0,0,1,0,1,1
57.927985800,1,0,0,1,0,0,1,1,1,1
58.094934750,1,0,0,1,0,0,1,1,0,1
58.094992050,1,0,0,1,0,0,1,1,1,1
58.095202350,1,0,0,1,0,0,1,1,0,1
58.095205100,1,0,0,1,0,0,1,1,1,1
58.095227050,1,0,0,1,0,0,1,1,0,1
58.095433550,1,0,0,1,0,0,1,1,1,1
58.096060650,1,0,0,1,0,0,1,1,0,1
58.096790500,1,0,0,1,0,0,1,1,1,1
58.097450700,1,0,0,1,0,0,1,1,0,1
58.100303650,1,0,0,1,0,0,1,1,1,1
58.100497550,1,0,0,1,0,0,1,1,0,1
58.100503550,1,0,0,1,0,0,1,1,1,1
58.103239600,1,0,0,1,0,0,1,1,0,1
58.103295400,1,0,0,1,0,0,1,1,1,1
58.103448050,1,0,0,1,0,0,1,1,0,1
58.103473400,1,0,0,1,0,0,1,1,1,1
58.106803100,1,0,0,1,0,0,1,1,0,1
58.106838900,1,0,0,1,0,0,1,1,1,1
58.107317550,1,0,0,1,0,0,1,1,0,1
58.107323600,1,0,0,1,0,0,1,1,1,1
58.107580650,1,0,0,1,0,0,1,1,0,1
58.107625100,1,0,0,1,0,0,1,1,1,1
58.107730150,1,0,0,1,0,0,1,1,0,1
58.107744950,1,0,0,1,0,0,1,1,1,1
58.107881700,1,0,0,1,0,0,1,1,0,1
58.109205400,1,0,0,1,0,0,1,1,1,1
58.109279650,1,0,0,1,0,0,1,1,0,1
