Time [s],Value,Parity Error,Framing Error
170.826737400000013,0x01,,
170.826823800000000,0x0A,,
170.826910199999986,0x02,,
170.826996600000001,0x88,,
170.827082999999988,0x24,,
170.827169400000002,0x82,,
170.827255799999989,0xE1,,
170.827342200000004,0x99,,
170.827428599999990,0x02,,
170.827515000000005,0x64,,
170.827601399999992,0x61,,
170.827687800000007,0x00,,
171.326752749999997,0x01,,
171.326839150000012,0x0A,,
171.326925549999999,0x02,,
171.327011950000013,0x88,,
171.327098350000000,0x24,,
171.327184749999986,0x82,,
171.327271150000001,0xE1,,
171.327357549999988,0x99,,
171.327443950000003,0x02,,
171.327530349999989,0x64,,
171.327616750000004,0x61,,
171.327703149999991,0x00,,
171.826759500000009,0x01,,
171.826845899999995,0x0A,,
171.826932300000010,0x02,,
171.827018699999996,0x89,,
171.827105100000011,0x24,,
171.827191499999998,0xEA,,
171.827277900000013,0xE8,,
171.827364299999999,0x99,,
171.827450700000014,0x02,,
171.827537100000001,0xD7,,
171.827623499999987,0xAC,,
171.827709900000002,0x00,,
172.326766200000009,0x01,,
172.326852599999995,0x0A,,
172.326939000000010,0x02,,
172.327025399999997,0x89,,
172.327111800000011,0x24,,
172.327198199999998,0xEA,,
172.327284600000013,0xE8,,
172.327370999999999,0x99,,
172.327457399999986,0x02,,
172.327543800000001,0xD7,,
172.327630199999987,0xAC,,
172.327716600000002,0x00,,
172.826790200000005,0x01,,
172.826876599999991,0x0A,,
172.826963000000006,0x02,,
172.827049399999993,0x8A,,
172.827135800000008,0x24,,
172.827222199999994,0xD2,,
172.827308600000009,0xF0,,
172.827394999999996,0x99,,
172.827481400000011,0x02,,
172.827567799999997,0x83,,
172.827654200000012,0x21,,
172.827740599999998,0x00,,
173.326788300000004,0x01,,
173.326874699999991,0x0A,,
173.326961100000005,0x02,,
173.327047499999992,0x8A,,
173.327133900000007,0x24,,
173.327220299999993,0xD2,,
173.327306700000008,0xF0,,
173.327393099999995,0x99,,
173.327479500000010,0x02,,
173.327565899999996,0x83,,
173.327652300000011,0x21,,
173.327738699999998,0x00,,
173.826803649999988,0x01,,
173.826890050000003,0x0A,,
173.826976449999989,0x02,,
173.827062850000004,0x8B,,
173.827149249999991,0x24,,
173.827235650000006,0xBA,,
173.827322049999992,0xF8,,
173.827408450000007,0x99,,
173.827494849999994,0x02,,
173.827581250000009,0xF0,,
173.827667649999995,0xBD,,
173.827754050000010,0x00,,
174.326810349999988,0x01,,
174.326896750000003,0x0A,,
174.326983149999990,0x02,,
174.327069550000004,0x8B,,
174.327155949999991,0x24,,
174.327242350000006,0xBA,,
174.327328749999992,0xF8,,
174.327415150000007,0x99,,
174.327501549999994,0x02,,
174.327587950000009,0xF0,,
174.327674349999995,0xBD,,
174.327760750000010,0x00,,
174.826817049999988,0x01,,
174.826903450000003,0x0A,,
174.826989849999990,0x02,,
174.827076250000005,0x8C,,
174.827162649999991,0x24,,
174.827249050000006,0xA2,,
174.827335449999993,0x80,,
174.827421850000007,0x9A,,
174.827508249999994,0x02,,
174.827594650000009,0x0E,,
174.827681049999995,0x3A,,
174.827767450000010,0x00,,
175.326823800000000,0x01,,
175.326910199999986,0x0A,,
175.326996600000001,0x02,,
175.327082999999988,0x8C,,
175.327169400000002,0x24,,
175.327255799999989,0xA2,,
175.327342200000004,0x80,,
175.327428599999990,0x9A,,
175.327515000000005,0x02,,
175.327601399999992,0x0E,,
175.327687800000007,0x3A,,
175.327774199999993,0x00,,
175.826821849999988,0x01,,
175.826908250000002,0x0A,,
175.826994649999989,0x02,,
175.827081050000004,0x8D,,
175.827167449999990,0x24,,
175.827253850000005,0x8A,,
175.827340249999992,0x88,,
175.827426650000007,0x9A,,
175.827513049999993,0x02,,
175.827599450000008,0xBD,,
175.827685849999995,0xB3,,
175.827772250000010,0x00,,
176.326828549999988,0x01,,
176.326914950000003,0x0A,,
176.327001349999989,0x02,,
176.327087750000004,0x8D,,
176.327174149999991,0x24,,
176.327260550000005,0x8A,,
176.327346949999992,0x88,,
176.327433350000007,0x9A,,
176.327519749999993,0x02,,
176.327606150000008,0xBD,,
176.327692549999995,0xB3,,
176.327778950000010,0x00,,
176.826835299999999,0x01,,
176.826921700000014,0x0A,,
176.827008100000000,0x02,,
176.827094499999987,0x8E,,
176.827180900000002,0x24,,
176.827267299999988,0xF2,,
176.827353700000003,0x8F,,
176.827440099999990,0x9A,,
176.827526500000005,0x02,,
176.827612899999991,0xEF,,
176.827699300000006,0x1A,,
176.827785699999993,0x00,,
177.326841999999999,0x01,,
177.326928400000014,0x0A,,
177.327014800000001,0x02,,
177.327101199999987,0x8E,,
177.327187600000002,0x24,,
177.327273999999989,0xF2,,
177.327360400000003,0x8F,,
177.327446799999990,0x9A,,
177.327533200000005,0x02,,
177.327619599999991,0xEF,,
177.327706000000006,0x1A,,
177.327792399999993,0x00,,
177.826865999999995,0x01,,
177.826952400000010,0x0A,,
177.827038799999997,0x02,,
177.827125200000012,0x8F,,
177.827211599999998,0x24,,
177.827298000000013,0xDA,,
177.827384400000000,0x97,,
177.827470799999986,0x9A,,
177.827557200000001,0x02,,
177.827643599999988,0x99,,
177.827730000000003,0x92,,
177.827816399999989,0x00,,
178.326872699999996,0x01,,
178.326959100000010,0x0A,,
178.327045499999997,0x02,,
178.327131900000012,0x8F,,
178.327218299999998,0x24,,
178.327304700000013,0xDA,,
178.327391100000000,0x97,,
178.327477499999986,0x9A,,
178.327563900000001,0x02,,
178.327650299999988,0x99,,
178.327736700000003,0x92,,
178.327823099999989,0x00,,
178.826879399999996,0x01,,
178.826965800000011,0x0A,,
178.827052199999997,0x02,,
178.827138600000012,0x90,,
178.827224999999999,0x24,,
178.827311400000013,0xC2,,
178.827397800000000,0x9F,,
178.827484199999986,0x9A,,
178.827570600000001,0x02,,
178.827656999999988,0x94,,
178.827743400000003,0x17,,
178.827829799999989,0x00,,
179.326886150000007,0x01,,
179.326972549999994,0x0A,,
179.327058950000009,0x02,,
179.327145349999995,0x90,,
179.327231750000010,0x24,,
179.327318149999996,0xC2,,
179.327404550000011,0x9F,,
179.327490949999998,0x9A,,
179.327577350000013,0x02,,
179.327663749999999,0x94,,
179.327750150000014,0x17,,
179.327836550000001,0x00,,
179.826892850000007,0x01,,
179.826979249999994,0x0A,,
179.827065650000009,0x02,,
179.827152049999995,0x91,,
179.827238450000010,0x24,,
179.827324849999997,0xAA,,
179.827411250000011,0xA7,,
179.827497649999998,0x9A,,
179.827584050000013,0x02,,
179.827670449999999,0xE8,,
179.827756849999986,0x8B,,
179.827843250000001,0x00,,
180.326908199999991,0x01,,
180.326994600000006,0x0A,,
180.327080999999993,0x02,,
180.327167400000008,0x91,,
180.327253799999994,0x24,,
180.327340200000009,0xAA,,
180.327426599999995,0xA7,,
180.327513000000010,0x9A,,
180.327599399999997,0x02,,
180.327685800000012,0xE8,,
180.327772199999998,0x8B,,
180.327858600000013,0x00,,
180.826914899999991,0x01,,
180.827001300000006,0x0A,,
180.827087699999993,0x02,,
180.827174100000008,0x92,,
180.827260499999994,0x24,,
180.827346900000009,0x92,,
180.827433299999996,0xAF,,
180.827519700000011,0x9A,,
180.827606099999997,0x02,,
180.827692500000012,0x79,,
180.827778899999998,0x07,,
180.827865300000013,0x00,,
181.326921599999991,0x01,,
181.327008000000006,0x0A,,
181.327094399999993,0x02,,
181.327180800000008,0x92,,
181.327267199999994,0x24,,
181.327353600000009,0x92,,
181.327439999999996,0xAF,,
